cells	label
NTC24-0508	N
NTC2-43-0508	N
NTC2-44-0508	N
NTC2-47-0508	N
NTC2-49-0508	N
NTC2-50-0508	N
NTC2-51-0508	N
NTC2-54-0508	N
NTC2-56-0508	N
NTC2-57-0508	N
NTC2-6-0508	N
NTC26-0508	N
NTC2-61-0508	N
NTC2-63-0508	N
NTC2-65-0508	N
NTC2-67-0508	N
NTC2-73-0508	N
NTC28-0508	N
NTC30-0508	N
NTC31-0508	N
NTC32-0508	N
NTC33-0508	N
NTC34-0508	N
NTC39-0508	N
NTC40-0508	N
NTC41-0508	N
NTC44-0508	N
NTC46-0508	N
NTC47-0508	N
NTC48-0508	N
NTC49-0508	N
NTC50-0508	N
NTC52-0508	N
NTC53-0508	N
NTC55-0508	N
PTC1-2-0508	P
PTC15-0508	P
PTC17-0508	P
PTC21-0508	P
PTC2-11-0508	P
PTC23-0508	P
PTC2-39-0508	P
PTC2-48-0508	P
PTC25-0508	P
PTC2-56-0508	P
PTC2-57-0508	P
PTC2-64-0508	P
PTC2-82-0508	P
PTC32-0508	P
PTC39-0508	P
TTC45-0508	T
TTC46-0508	T
TTC94-0508	T
NTC100-1116	N
NTC102-1116	N
NTC104-1116	N
NTC105-1116	N
NTC107-1116	N
NTC112-1116	N
NTC122-1116	N
NTC126-1116	N
NTC127-1116	N
NTC131-1116	N
NTC136-1116	N
NTC141-1116	N
NTC142-1116	N
NTC147-1116	N
NTC152-1116	N
NTC164-1116	N
NTC169-1116	N
NTC171-1116	N
NTC175-1116	N
NTC176-1116	N
NTC183-1116	N
NTC187-1116	N
NTC190-1116	N
NTC97-1116	N
PTC106-1116	P
PTC114-1116	P
PTC141-1116	P
PTC152-1116	P
PTC184-1116	P
PTC191-1116	P
TTC123-1116	T
TTC124-1116	T
TTC148-1116	T
TTC37-1116	T
TTC74-1116	T
TTC79-1116	T
TTC16-0205	T
TTC107-0407	T
TTC1-4-0508	T
TTC19-0508	T
TTC21-0508	T
TTC2-2-0508	T
TTC2-59-0508	T
TTC2-68-0508	T
TTC34-0508	T
TTC40-0508	T
TTC53-0508	T
TTC63-0508	T
TTC73-0508	T
TTC78-0508	T
TTC101-1116	T
TTC105-1116	T
TTC112-1116	T
TTC115-1116	T
TTC117-1116	T
TTC12-1116	T
TTC122-1116	T
TTC127-1116	T
TTC136-1116	T
TTC139-1116	T
TTC15-1116	T
TTC20-1116	T
TTC34-1116	T
TTC35-1116	T
TTC39-1116	T
TTC62-1116	T
TTC63-1116	T
TTC67-1116	T
TTC71-1116	T
TTC72-1116	T
TTC75-1116	T
TTC81-1116	T
TTC86-1116	T
TTC91-1116	T
TTC94-1116	T
TTC98-1116	T
TTC102-0322	T
TTC110-0322	T
TTC113-0322	T
TTC119-0322	T
TTC164-0322	T
TTC175-0322	T
TTC18-0322	T
TTC184-0322	T
TTC28-0322	T
TTC3-0322	T
TTC7-0322	T
TTC72-0322	T
TTC89-0322	T
TTC112-0205	T
TTC130-0205	T
TTC33-0205	T
TTC43-0205	T
TTC101-0322	T
TTC103-0322	T
TTC111-0322	T
TTC121-0322	T
TTC123-0322	T
TTC125-0322	T
TTC127-0322	T
TTC135-0322	T
TTC138-0322	T
TTC143-0322	T
TTC148-0322	T
TTC15-0322	T
TTC160-0322	T
TTC162-0322	T
TTC170-0322	T
TTC178-0322	T
TTC181-0322	T
TTC183-0322	T
TTC189-0322	T
TTC192-0322	T
TTC23-0322	T
TTC25-0322	T
TTC30-0322	T
TTC31-0322	T
TTC37-0322	T
TTC40-0322	T
TTC41-0322	T
TTC43-0322	T
TTC49-0322	T
TTC50-0322	T
TTC64-0322	T
TTC66-0322	T
TTC69-0322	T
TTC76-0322	T
TTC8-0322	T
TTC82-0322	T
TTC85-0322	T
TTC146-1116	T
TTC150-1116	T
TTC2-70-0508	T
TTC2-71-0508	T
TTC2-72-0508	T
TTC2-73-0508	T
TTC2-76-0508	T
TTC2-86-0508	T
TTC2-88-0508	T
TTC2-89-0508	T
TTC2-90-0508	T
TTC2-93-0508	T
TTC100-0205	T
TTC106-0205	T
TTC113-0205	T
TTC124-0205	T
TTC125-0205	T
TTC129-0205	T
TTC19-0205	T
TTC35-0205	T
TTC44-0205	T
TTC56-0205	T
TTC58-0205	T
TTC72-0205	T
TTC76-0205	T
TTC86-0205	T
TTC95-0205	T
TTC96-0205	T
PTC111-0322	P
TTC95-0322	T
NTC33-0407	N
NTC46-0407	N
NTC54-0407	N
NTC67-0407	N
PTC113-0407	P
PTC46-0407	P
TTC168-0407	T
TTC169-0407	T
TTC171-0407	T
TTC182-0407	T
TTC24-0407	T
TTC32-0407	T
TTC34-0407	T
TTC37-0407	T
TTC40-0407	T
TTC48-0407	T
TTC54-0407	T
TTC66-0407	T
TTC75-0407	T
TTC77-0407	T
TTC78-0407	T
TTC80-0407	T
TTC81-0407	T
TTC99-0407	T
TTC10-0508	T
TTC11-0508	T
TTC1-2-0508	T
TTC12-0508	T
TTC13-0508	T
TTC1-5-0508	T
TTC15-0508	T
TTC16-0508	T
TTC17-0508	T
TTC1-8-0508	T
TTC20-0508	T
TTC2-10-0508	T
TTC2-1-0508	T
TTC2-11-0508	T
TTC2-12-0508	T
TTC2-13-0508	T
TTC2-14-0508	T
TTC2-15-0508	T
TTC2-16-0508	T
TTC2-17-0508	T
TTC2-18-0508	T
TTC2-20-0508	T
TTC22-0508	T
TTC2-22-0508	T
TTC2-23-0508	T
TTC2-24-0508	T
TTC2-25-0508	T
TTC2-26-0508	T
TTC2-27-0508	T
TTC2-28-0508	T
TTC2-29-0508	T
TTC2-30-0508	T
TTC2-3-0508	T
TTC23-0508	T
TTC2-37-0508	T
TTC2-40-0508	T
TTC2-4-0508	T
TTC24-0508	T
TTC2-42-0508	T
TTC2-47-0508	T
TTC2-50-0508	T
TTC2-5-0508	T
TTC2-54-0508	T
TTC2-55-0508	T
TTC2-58-0508	T
TTC2-60-0508	T
TTC2-61-0508	T
TTC2-62-0508	T
TTC2-64-0508	T
TTC2-66-0508	T
TTC2-7-0508	T
TTC27-0508	T
TTC2-77-0508	T
TTC2-78-0508	T
TTC2-79-0508	T
TTC2-80-0508	T
TTC2-81-0508	T
TTC2-83-0508	T
TTC2-9-0508	T
TTC29-0508	T
TTC2-94-0508	T
TTC2-96-0508	T
TTC32-0508	T
TTC35-0508	T
TTC36-0508	T
TTC38-0508	T
TTC39-0508	T
TTC41-0508	T
TTC43-0508	T
TTC44-0508	T
TTC47-0508	T
TTC48-0508	T
TTC52-0508	T
TTC54-0508	T
TTC57-0508	T
TTC58-0508	T
TTC59-0508	T
TTC60-0508	T
TTC62-0508	T
TTC64-0508	T
TTC65-0508	T
TTC69-0508	T
TTC70-0508	T
TTC71-0508	T
TTC75-0508	T
